NAME	DESCRIPTION	SP-IR-P35-1	SP-IR-P35-2	SP-IR-P35-3	SP-IR-P35-4	SP-IR-P35-5	SP-IR-P35-6	MI-P35-1	MI-P35-2	MI-P35-3	MI-P35-4	MI-P35-5	MI-P35-6
OPRM1	na	0.000667311	0.002640295	0.002201656	0.001752409	0.001026096	0.001026096	0.004213837	0.006624548	0.006413842	0.007022668	0.00994923	0.008558426
RGS17	na	0.021947105	0.021049933	0.017439438	0.011791918	0.013730786	0.013730786	0.022951695	0.024726336	0.024453176	0.023321746	0.029434932	0.038560892
MTRF1L	na	0.08793301	0.091695067	0.075332497	0.071004204	0.082787468	0.082787468	0.079337998	0.076479404	0.067104836	0.071662141	0.082245939	0.080728802
FBXO5	na	0.017653817	0.008573094	0.01364953	0.010710777	0.010844354	0.010844354	0.016148286	0.014530819	0.0285346	0.01748018	0.021525001	0.012242729
VIP	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000031720	na	0.000872862	0.000731431	0	0.001807914	0.007339399	0.007339399	0.043084942	0.06201231	0.064703272	0.096862327	0.076967281	0.065554513
MYCT1	na	0.006971802	0.002017766	0.006180496	0.000819504	0.008241919	0.008241919	0.001474372	0.004690245	0.00284173	0.002939595	0.002525023	0.005039763
ENSSSCG00000004081	na	1.009331562	0.899895264	0.928088528	0.914989321	0.92453586	0.92453586	1.102501226	1.131911058	1.071648576	1.056583778	1.049121321	1.151049138
ENSSSCG00000034008	na	0.016483509	0.012551351	0.006356347	0.014920892	0.006958389	0.006958389	0	0	0	0	0	0
ENSSSCG00000021273	na	0.001954265	0.007499341	0.005256669	0.000968779	0	0	0	0	0	0	0	0
ENSSSCG00000031744	na	0.134380169	0.148108644	0.128427871	0.150757268	0.115455524	0.115455524	0.096914615	0.111491178	0.10652842	0.097232862	0.086681022	0.095929473
ENSSSCG00000004082	na	0.782992987	0.800980618	0.811035143	0.804598161	0.805467161	0.805467161	0.758698281	0.858638548	0.845161275	0.821608237	0.764235531	0.876257424
ESR1	na	0.022803491	0.019919228	0.022379968	0.012125878	0.024156288	0.024156288	0.046570885	0.049263229	0.047948943	0.046371126	0.03321389	0.029988418
CCDC170	na	0.083763579	0.083562321	0.088535593	0.120361839	0.093933797	0.093933797	0.043968522	0.034098564	0.049403024	0.03670624	0.043591061	0.045558785
ARMT1	na	0.053174355	0.040687243	0.032792065	0.051643236	0.057676701	0.057676701	0.042747164	0.056681144	0.058152708	0.040165661	0.039832734	0.051783428
RMND1	na	0.165584623	0.203171594	0.199402358	0.205754343	0.197594134	0.197594134	0.145443102	0.135514314	0.130546946	0.142685531	0.135474984	0.177434333
ZBTB2	na	0.063960856	0.091045843	0.071577155	0.078357491	0.079647973	0.079647973	0.086481755	0.081698356	0.064868438	0.088761668	0.07637084	0.093735223
AKAP12	na	0.057267971	0.056192078	0.060972504	0.024280258	0.068755881	0.068755881	0.043105081	0.048029707	0.042091689	0.040143791	0.031891648	0.040992387
MTHFD1L	na	0.025165653	0.016951852	0.022935607	0.014730901	0.025009029	0.025009029	0.024523351	0.011772974	0.018416465	0.029931978	0.023984539	0.012439452
PLEKHG1	na	0.018348605	0.035330987	0.048865778	0.022163099	0.05759848	0.05759848	0.024765222	0.01987134	0.030274277	0.028720773	0.023481391	0.03257796
RF00319	na	0	0	0	0	0.001809114	0.001809114	0	0	0	0	0	0
ENSSSCG00000040966	na	0	0	0	0	0	0	0	0	0	0.000919076	0.001124149	0
IYD	na	0	0	0.00092289	0	0	0	0.001862036	0.00111314	0.00111314	0	0.002975176	0.003101837
PPP1R14C	na	0.921462971	0.872640123	0.922082242	0.928900161	0.876431866	0.876431866	0.938993215	0.900376977	0.837962843	0.851087782	0.930853476	0.802877219
ENSSSCG00000035574	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000032525	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000033578	na	0	0	0.001822176	0	0	0	0	0	0	0	0	0
ENSSSCG00000004096	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000004098	na	0	0	0	0	0	0	0	0	0	0	0	0
ULBP1	na	0	0.001442781	0.001442781	0	0	0	0	0	0	0	0	0
LRP11	na	0.07279349	0.068731602	0.05691099	0.052933239	0.066953079	0.066953079	0.038883965	0.049023825	0.032467672	0.042850639	0.03084818	0.048883643
PCMT1	na	0.764956804	0.751554698	0.720349885	0.816715675	0.768501331	0.768501331	0.517613014	0.503970947	0.51879938	0.556618526	0.538373004	0.493640622
NUP43	na	0.045394406	0.063385158	0.058672315	0.045935146	0.047153324	0.047153324	0.034850644	0.03421717	0.056959381	0.044560524	0.045326352	0.038090434
ENSSSCG00000031644	na	0.014448185	0.013291131	0.016525775	0.01843701	0.013686786	0.013686786	0.010055271	0.009056002	0.010309871	0.008358809	0.0113688	0.011136
LATS1	na	0.428271462	0.488916796	0.475378334	0.427664964	0.438853915	0.438853915	0.483690116	0.521961696	0.516932407	0.470038998	0.516736335	0.517740159
KATNA1	na	0.169586311	0.155928947	0.144643017	0.161217076	0.165254302	0.165254302	0.160652752	0.143033317	0.132958229	0.109250475	0.120289984	0.148163206
GINM1	na	0.139029539	0.141473755	0.130143768	0.150715263	0.158986549	0.158986549	0.126137743	0.117970319	0.112435823	0.139336988	0.126785082	0.114675599
PPIL4	na	0.142048788	0.115725368	0.126986317	0.14177393	0.142355772	0.142355772	0.179701665	0.175864315	0.153063171	0.154523848	0.170752305	0.159557582
ZC3H12D	na	0.001449907	0.000771804	0.007943808	0.007676371	0.015835992	0.015835992	0.004432523	0.00168437	0.00382215	0.002226333	0.001212935	0.004232331
TAB2	na	0.534310934	0.479620943	0.52374792	0.534523185	0.532469501	0.532469501	0.471196758	0.516185256	0.472018392	0.413931418	0.445733347	0.462594883
UST	na	1.29090377	1.262153788	1.210491785	1.225626719	1.291980648	1.291980648	1.19838636	1.118691573	1.09378037	1.101627791	1.093769827	1.113231795
SASH1	na	0.467656729	0.367939763	0.361533076	0.424274713	0.398805885	0.398805885	0.33980935	0.319823542	0.292987991	0.33083439	0.313874537	0.350088167
RF00026.1	na	0	0	0	0	0	0	0	0	0	0	0	0
SAMD5	na	0	0	0	0	0	0	0	0	0	0	0	0
STXBP5	na	1.485859265	1.435325548	1.499504729	1.463469764	1.366509914	1.366509914	0.631556883	0.607281579	0.602973689	0.522331516	0.598474564	0.620200691
RAB32	na	0.943144204	0.966503253	0.947992928	0.93562839	0.906301128	0.906301128	0.748073231	0.699738449	0.662129985	0.658212772	0.67104649	0.738757925
GRM1	na	0.004969736	0.00094729	0.00565035	0.003359884	0.000954745	0.000954745	0.029680391	0.037682377	0.035101748	0.016412886	0.023688731	0.022674816
SHPRH	na	0.626922079	0.596705632	0.617994528	0.552286909	0.587783748	0.587783748	0.391097038	0.436747533	0.412541115	0.333166146	0.433598304	0.429754147
FBXO30	na	1.751930163	1.842238333	1.767677951	1.721618524	1.63791857	1.63791857	1.734598587	1.91277613	1.78337354	1.794355554	1.970337493	1.955609397
RF00093	na	0.000626427	0	0	0	0	0	0	0	0	0	0	0
UTRN	na	2.950579007	2.969406774	2.859373118	2.869731938	2.850735242	2.850735242	2.732210541	2.772302342	2.761293515	2.748040463	2.71933769	2.75794426
ENSSSCG00000033962	na	0.018585303	0.018411035	0.017940382	0.022750486	0.016835545	0.016835545	0.003764175	0.004009742	0.003291466	0.009121729	0.004912272	0.004542521
STX11	na	0.053725476	0.069291215	0.059697055	0.045163968	0.06901621	0.06901621	0.057714256	0.057492975	0.075310102	0.078081136	0.074484606	0.05741278
SF3B5	na	0.03375266	0.037356054	0.027582231	0.034936073	0.038405006	0.038405006	0.023513034	0.019999709	0.025255215	0.034390083	0.026839492	0.017096992
PLAGL1	na	0.742147737	0.77955051	0.718012895	0.729965695	0.733457227	0.733457227	0.660126011	0.622397146	0.590484079	0.566935636	0.611113555	0.613404339
RF02143	na	0.010124948	0.014518166	0.020294924	0.014535806	0.01457876	0.01457876	0	0.002617498	0.018163343	0.008637748	0.007159247	0.011516809
ZC2HC1B	na	0.000825045	0	0	0.003305706	0.000825045	0.000825045	0.002323792	0.005094529	0.0051381	0.004535393	0.002329172	0
ENSSSCG00000040918	na	0.006283277	0.0075702	0.001136168	0.001494605	0.005196944	0.005196944	0.001805492	0.003359018	0.004752815	0.001761232	0.001272134	0.002101114
ENSSSCG00000004130	na	0.056121385	0.067675212	0.041840306	0.059014443	0.058984576	0.058984576	0.031277797	0.042553408	0.05975306	0.039852848	0.046339806	0.048272374
ENSSSCG00000039614	na	0.005858206	0.002774637	0.006685323	0.00438154	0.005087705	0.005087705	0.008434862	0.004890957	0.005821123	0.005165298	0.006493283	0.006973226
PHACTR2	na	0.65550503	0.671624108	0.668292157	0.750397733	0.68363314	0.68363314	0.596845123	0.630287162	0.677356971	0.603094085	0.639683374	0.626048298
RF00026.2	na	0	0	0	0	0	0	0	0	0	0	0	0
FUCA2	na	0.091520179	0.078885223	0.082552986	0.094258195	0.119145238	0.119145238	0.048783104	0.047310172	0.0359098	0.049566051	0.053451502	0.0483357
PEX3	na	0.212247468	0.229426988	0.21955075	0.204525203	0.217111057	0.217111057	0.145963353	0.122272324	0.155991654	0.145868486	0.125108043	0.126213674
ADAT2	na	0.043270184	0.046072253	0.047663819	0.033849521	0.035070507	0.035070507	0.0308368	0.032616303	0.031262794	0.021132378	0.021025079	0.027228585
AIG1	na	0.817038932	0.842538448	0.806917465	0.777645021	0.864913019	0.864913019	0.834514286	0.851634548	0.850075853	0.885511347	0.880276214	0.858715781
HIVEP2	na	1.177219355	1.145789484	1.294239145	1.129666679	1.149555226	1.149555226	1.998576463	2.057267086	2.130330542	2.106216696	1.996643494	1.945033281
ADGRG6	na	0.084137772	0.096260544	0.062082644	0.083769766	0.102022254	0.102022254	0.124402401	0.10358332	0.126659996	0.11722283	0.157953207	0.108156844
VTA1	na	0.346256254	0.382141286	0.393680167	0.346370149	0.338548752	0.338548752	0.347506871	0.317093112	0.346036776	0.330589498	0.323384619	0.358757822
GJE1	na	0	0	0	0	0	0	0	0	0	0	0	0
NMBR	na	0	0	0	0	0	0	0.000485774	0	0	0	0	0
RF00026.3	na	0	0	0	0	0	0	0	0	0	0	0	0
CITED2	na	0.082048906	0.079213285	0.063735355	0.06451456	0.076499073	0.076499073	0.12214881	0.132747969	0.125133346	0.128718589	0.141333152	0.133020543
TXLNB	na	3.589270621	3.542561139	3.461675933	3.412031138	3.596844035	3.596844035	2.044600156	2.046813302	2.061468256	1.979356253	1.940815889	1.939952189
HECA	na	0.057165416	0.066588238	0.043622787	0.064525679	0.037757896	0.037757896	0.07593824	0.079351523	0.078388874	0.071298917	0.064765034	0.065532732
ENSSSCG00000004145	na	0.011211924	0.009185998	0.021508535	0.00315018	0.017479285	0.017479285	0.007342334	0.012621031	0.010663206	0.015021318	0.020711741	0.009721256
REPS1	na	0.273690808	0.258840026	0.302561497	0.276022843	0.279945902	0.279945902	0.231882264	0.187416822	0.25056857	0.212950788	0.241688806	0.218240333
ECT2L	na	0.012954767	0.005595387	0.008744429	0.013146748	0.008289108	0.008289108	0.010947336	0.009436738	0.010542464	0.004070657	0.00168327	0.006672317
CCDC28A	na	0.042581767	0.055150794	0.044302596	0.048166819	0.035909405	0.035909405	0.039865781	0.035816077	0.048736044	0.036462765	0.042583635	0.036251898
NHSL1	na	1.255967254	1.177678322	1.178118329	1.211634517	1.216701057	1.216701057	1.150965525	1.060164945	1.051247596	0.977437271	1.076514713	1.055001973
RF00156.1	na	0	0	0	0	0	0	0.001281121	0	0	0	0	0
ENSSSCG00000004150	na	0.012335849	0.01321713	0.029927448	0.015889371	0.022195966	0.022195966	0.010499933	0.02565672	0.0112739	0.014232559	0.018821795	0.018744559
RF00026.4	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000004151	na	0.0015111	0.0015111	0	0	0.0015111	0.0015111	0	0.000542447	0	0	0.000542447	0
ARFGEF3	na	0.534075878	0.518810223	0.496931564	0.474162844	0.491712411	0.491712411	0.29287955	0.241060467	0.26899152	0.285081434	0.242352263	0.280164979
PERP	na	0.084452158	0.07966407	0.062766727	0.062273463	0.074187994	0.074187994	0.086271804	0.091177531	0.098244105	0.09543182	0.084764432	0.094993768
TNFAIP3	na	0.02329254	0.02644258	0.028520945	0.029632834	0.024975626	0.024975626	0.02169525	0.019714489	0.033215066	0.036066989	0.022939872	0.016302787
OLIG3	na	0	0	0	0	0	0	0	0	0	0	0	0
IFNGR1	na	0.382872109	0.406593827	0.366433867	0.401024111	0.390272947	0.390272947	0.207110594	0.200267518	0.192684835	0.230561828	0.224243692	0.189873716
IL22RA2	na	0.000787983	0.000786692	0	0.001574675	0	0	0	0	0	0	0	0
IL20RA	na	0.010455148	0.001937662	0.001013398	0.003523857	0.006504942	0.006504942	0.014043669	0.008694434	0.007087604	0.007158599	0.014222847	0.009954039
SLC35D3	na	0.005418862	0.002764442	0.002462364	0.001436686	0.000810699	0.000810699	0	0	0	0	0	0
PEX7	na	0.644776719	0.631711266	0.646921008	0.660171904	0.661623353	0.661623353	0.418988763	0.410489286	0.414316747	0.386715408	0.360277742	0.359000846
RF00026.5	na	0	0.00180446	0	0	0.001280116	0.001280116	0	0	0	0	0	0
MAP3K5	na	7.590737787	7.599097796	7.604532508	7.450772816	7.562790235	7.562790235	9.024329532	9.420245065	9.030339	9.286550534	9.160334952	9.347049374
MAP7	na	0.524927056	0.509071444	0.54064569	0.524671351	0.484981294	0.484981294	0.329281611	0.301250079	0.304401549	0.313415699	0.313213723	0.354176574
BCLAF1	na	0.424530254	0.441721073	0.419545412	0.453840659	0.397864103	0.397864103	0.454973342	0.42779053	0.453342424	0.444431329	0.448072604	0.448734446
MTFR2	na	0.000740829	0.002123487	0.004314259	0.002767491	0.004167484	0.004167484	0.005735304	0.018789679	0.007073631	0.015663588	0.010954783	0.010825893
PDE7B	na	0.645763977	0.677919167	0.619742371	0.614769638	0.666002469	0.666002469	0.774293055	0.694459424	0.79388122	0.700032902	0.748059399	0.630891468
ENSSSCG00000035425	na	0.002945004	0.003336532	0.000424892	0.002117846	0.001305485	0.001305485	0.005843674	0.008273727	0.015612253	0.002023974	0.008775477	0.002528375
RF00156.2	na	0	0	0	0	0	0	0	0	0	0	0	0
AHI1	na	1.529117337	1.435788104	1.596483134	1.496726826	1.604603083	1.604603083	0.964895959	0.912960319	0.888850696	0.91493388	0.969598076	0.863690295
MYB	na	0.029188901	0.040086456	0.02488032	0.028551237	0.037156772	0.037156772	0.009909306	0.00865952	0.008640552	0.005714166	0.002331069	0.00501734
ENSSSCG00000039857	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000031314	na	0	0	0	0	0	0	0	0	0	0.002027268	0	0
HBS1L	na	0.574637682	0.571597676	0.555749711	0.583461981	0.578506673	0.578506673	0.506729871	0.519191092	0.464266114	0.497956336	0.518769057	0.498462358
ALDH8A1	na	0.001835974	0.001661281	0	0.001835974	0	0	0	0	0	0	0	0.000686327
ENSSSCG00000004170	na	0	0	0	0	0	0	0	0	0	0	0	0
RF00322	na	0	0	0	0	0	0	0	0	0	0	0	0
RF00026.6	na	0	0	0	0	0	0	0	0	0	0	0	0
