NAME	DESCRIPTION	P1-MI-D1	P1-MI-D3	P11-Sham	P2-Sham	P4-Sham	P8-MI-D1	P8-MI-D3	P9-Sham
3110035E14Rik	na	0.000412785	0.001139039	0.000473893	0.000745147	0.001001098	0	0.001881005	0
Gm29520	na	0	0	0	0	0	0	0	0
Mybl1	na	0.025363041	0.060688367	0.028549711	0.012386915	0.026956927	0.013664307	0.047342978	0.017852503
Vcpip1	na	0.174235862	0.192615737	0.115060831	0.144949317	0.105847438	0.168185792	0.174952	0.117295203
1700034P13Rik	na	0.021739373	0.023694845	0.041076535	0.0201634	0.015315304	0.026430487	0.039996239	0.05717469
Sgk3	na	0.104232775	0.137274112	0.097299981	0.093405874	0.096114083	0.10597038	0.121303237	0.118878105
Mcmdc2	na	0.009860154	0.014063664	0.01629479	0.012014245	0.012456543	0.011179207	0.008210742	0.015724994
Snhg6	na	0.075556424	0.046533868	0.037683404	0.049444399	0.028420077	0.047292621	0.033849232	0.04153086
Tcf24	na	0.006799825	0.003369066	0.004827378	0.004812704	0.002041837	0.003112399	0.004109874	0.006927225
Ppp1r42	na	0.00664165	0.004924421	0.006562782	0.003124278	0.007324173	0.002148554	0.004429006	0.006326889
Gm15818	na	0.001886051	0.045478845	0.038634986	0.061440958	0.053376929	0.031495824	0.044432766	0.027168468
Cops5	na	0.226160217	0.203363996	0.077727252	0.217850787	0.163723421	0.070413661	0.094364619	0.065261426
Cspp1	na	0.280838783	0.338852782	0.172188277	0.20158142	0.21017762	0.223251119	0.271319057	0.175290966
Arfgef1	na	0.403572011	0.426931517	0.381529495	0.268773718	0.228199517	0.438200067	0.38886601	0.335986443
Cpa6	na	0.021262894	0.019520346	0.055112453	0.022929306	0.014539646	0.03340691	0.021728062	0.048263152
Prex2	na	0.141542543	0.137852391	0.037657383	0.063508541	0.048174456	0.057662758	0.061386709	0.028014377
A830018L16Rik	na	0.034369902	0.02758071	0.058892728	0.031049056	0.027323011	0.023806538	0.021936851	0.049932233
Gm17644	na	0	0	0	0	0	0	0	0
Gm29663	na	0	0	0	0	0	0	0	0
Sulf1	na	0.106100951	0.137265624	0.034654622	0.090065238	0.095980512	0.053199036	0.08640459	0.032761307
Slco5a1	na	0.022846891	0.032902132	0.053704675	0.013924997	0.013562399	0.073107787	0.094881588	0.028701978
Gm29283	na	0.000659173	9.67E-05	0.000799747	0	0.000493568	0.001108533	0	0.002046833
Prdm14	na	0.00169728	0	0.00403131	0.000739103	0.000609937	0	0	0.000614339
Ncoa2	na	0.454574916	0.55517389	0.353267775	0.331618431	0.30392591	0.455695665	0.497057286	0.379527161
Gm29570	na	0.012351616	0.005619181	0.027506388	0.006729203	0.007466123	0.007991078	0.006692421	0.026788241
Tram1	na	0.215817764	0.178505328	0.048424541	0.169319448	0.154850947	0.097317803	0.091247301	0.064244124
Lactb2	na	0.155906021	0.14249458	0.113603446	0.129931027	0.099261398	0.156563856	0.174509941	0.114719259
Xkr9	na	0.000509793	0	0	0	0	0.000539113	0.000897614	0.001532764
Eya1	na	0.008237343	0.008701871	0.005604941	0.010951765	0.004339169	0.002883238	0.008260738	0.007469906
Gm9947	na	0.001741928	0.003186232	0	0.000768363	0.002874945	0	0.000545623	0.000717175
Msc	na	0.003259791	0.009647571	0.001349018	0.008276057	0.009635872	0.003069402	0.006166989	0.001849515
Trpa1	na	0.00056623	0.00102293	0.001783503	0.0013077	0.002707033	0.001256066	0.002454224	0.003769148
Kcnb2	na	0.029011165	0.029235049	0.049044408	0.020363235	0.028264575	0.024003649	0.036335181	0.055283528
Terf1	na	0.149684577	0.189876681	0.089713866	0.125257003	0.131341048	0.078602086	0.124899648	0.105608976
Sbspon	na	0.000505561	0.000776158	0.002467077	0.000570818	0	0.000608124	0.00116705	0.000529447
4930444P10Rik	na	0.002817346	0.002733098	0.004123103	0	0.001933508	0.0050722	0.00201996	0.000930405
Rpl7	na	0.993105909	0.892787477	0.138335627	0.790563079	0.506350785	0.131102872	0.251161107	0.168171368
Rdh10	na	0.053886301	0.037014539	0.021608366	0.035120481	0.022130566	0.04506476	0.034523138	0.019184859
Gm28095	na	0.006907777	0.006299136	0.003681841	0.002275343	0.002478564	0.001890737	0.0047387	0.003486682
Stau2	na	0.540479709	0.68106729	0.5858865	0.379091331	0.442905382	0.661010188	0.736656357	0.529467491
Gm7568	na	0.00541693	0.007204367	0.006664672	0.004731231	0.004386885	0.007022702	0.012373894	0.00455197
Ube2w	na	0.288184221	0.258267479	0.186854493	0.225133037	0.192688795	0.280464987	0.2660644	0.195751173
Tceb1	na	0.38561951	0.437479535	0.125981307	0.437607784	0.338449913	0.117787367	0.147031678	0.164435303
D030040B21Rik	na	0	0.000529557	0.00077668	0.00087667	0.0005339	0	0	0
Tmem70	na	0.170314741	0.186784453	0.056150025	0.218983231	0.148848728	0.041627209	0.066054265	0.079701149
Ly96	na	0.03389816	0.044057808	0.033405777	0.032846422	0.036661906	0.031912708	0.053778246	0.02902807
Gm28376	na	0.453735578	0.311713384	0.201949956	0.252466941	0.291919337	0.224893656	0.291312839	0.227598806
Jph1	na	0.153856359	0.149192444	0.10511133	0.102032149	0.08351754	0.158421924	0.226027841	0.131198866
Gm28783	na	0	0	0	0	0	0	0	0
Gdap1	na	0.000306975	0	0.000516233	0	0.000409852	0	0	0.000625898
Gm28784	na	0	0	0	0	0	0	0	0
Pi15	na	0.016035265	0.024775149	0.008390652	0.012571963	0.016188434	0.009590526	0.010072828	0.005737326
Gm28154	na	0.001007301	0.001553576	0	0.003301112	0.001591706	0.000503466	0.001449872	0.00069227
Gm16070	na	0.009752299	0.006912323	0.014184999	0.004504312	0.008220337	0.003625747	0.007954046	0.008882414
Crispld1	na	0.005126295	0.00738338	0.003344854	0.004646298	0.001487054	0.005426806	0.004442085	0.004277768
Gm28153	na	0.116910675	0.092839601	0.104228622	0.099356309	0.070391295	0.178465832	0.222659007	0.10734102
Crisp4	na	0	0	0	0	0	0	0	0
Defb18	na	0	0	0	0	0	0	0	0
Defb41	na	0	0.000597297	0.00172113	0.001369471	0	0.000702883	0.000699879	0.000608133
Gm29006	na	0	0	0	0	0	0	0	0.000350301
Gm15825	na	0	0	0.000702972	0	0	0	0.001138669	0
Tfap2d	na	0.005030199	0.003704076	0.014173704	0.006346929	0.005815444	0.008436697	0.010268137	0.011899482
Tfap2b	na	0	0	0	0	0	0	0	0
Gm28340	na	0	0	0	0	0	0	0	0
Pkhd1	na	0.03274815	0.020237572	0.056907328	0.022796169	0.033092686	0.025738879	0.038823569	0.07479559
4930486I03Rik	na	0.000322561	0.000619406	0	0	0.000568215	0	0.000726164	0.001552725
Gm28653	na	0	0	0	0	0	0	0	0
Il17a	na	0	0	0	0	0	0	0	0
Il17f	na	0	0	0.001958685	0.000768983	0	0	0	0
Mcm3	na	0.062685828	0.099559955	0.005465616	0.053315648	0.045438778	0.010599996	0.021019477	0.006692659
Gm28065	na	0	0	0	0	0	0	0	0
6720483E21Rik	na	0.00056602	0.001420588	0.000756391	0	0	0	0.001234073	0
Paqr8	na	0.018624198	0.024674816	0.005946983	0.006633703	0.003984418	0.016161365	0.017268811	0.007880458
Efhc1	na	0.004255142	0.003637465	0.001337196	0.001263474	0.004206838	0.004471557	0.005650972	0.001012149
Tram2	na	0.070171699	0.058852455	0.037254052	0.025670313	0.03704488	0.062194284	0.088819801	0.032553748
Gm28287	na	0	0	0	0	0	0	0	0
Tmem14a	na	0.012504702	0.021081809	0.012370588	0.012852674	0.018258723	0.005157562	0.005462724	0.009983921
Gsta3	na	0.00678012	0.001634149	0.001239001	0.002996604	0.001406644	0.001297535	0.002533436	0.002507624
Gm28836	na	0.000562685	0	0	0.000973669	0.001035559	0	0	0.000567705
Khdc1a	na	0	0	0	0	0	0	0	0
Khdc1c	na	0	0	0	0	0	0	0	0
Khdc1b	na	0	0	0	0	0	0	0	0
Kcnq5	na	1.13420045	0.980100655	0.390317407	0.705860167	0.826700414	0.883279599	0.518099149	0.379631464
Gm26580	na	0	0	0	0	0.001286222	0	0.00073828	0
Rims1	na	0.061772434	0.087737003	0.043318111	0.071647475	0.058412138	0.038220426	0.05371369	0.059171287
4933415F23Rik	na	0	0	0	0	0	0	0	0
Gm27028	na	0.000611621	0	0	0	0.002057079	0	0	0
Gm29107	na	0.04358998	0.054919594	0.042354275	0.040587771	0.027095292	0.066271435	0.051769422	0.051628522
Ogfrl1	na	0.080066403	0.094675803	0.064758822	0.065022069	0.04949048	0.054519877	0.076852926	0.0678218
Gm28822	na	0	0.00016534	0.000525547	0	0.000591758	0	0	0
B3gat2	na	0.004424251	0.008902535	0.00664706	0.003535544	0.004746389	0.001715478	0.005310438	0.004402291
Smap1	na	0.258702606	0.262612129	0.182218849	0.171386647	0.116623525	0.279031295	0.265307176	0.189043546
Sdhaf4	na	0.140827546	0.18896279	0.060154786	0.154589096	0.142250831	0.03789572	0.05937193	0.061790049
Fam135a	na	0.435249598	0.514142031	0.374901644	0.31998051	0.293392052	0.445744827	0.529484875	0.34868784
Col9a1	na	0.00671047	0.002900963	0.008968059	0.01048816	0.002725017	0.006119724	0.001216096	0.014540002
Col19a1	na	0.00594433	0.002823847	0.012487299	0.005131514	0.004070611	0.007162092	0.009368661	0.00969611
Lmbrd1	na	0.165845284	0.147431283	0.239003516	0.192957858	0.123538526	0.119131384	0.153671193	0.280841737
Gm28237	na	0	0	0	0	0	0	0	0
Gm29414	na	0	0	0	0	0	0	0	0
Adgrb3	na	0.02807657	0.02882744	0.036024882	0.012536854	0.061518858	0.017012835	0.018203758	0.044400989
4931408C20Rik	na	0	0	0	0	0	0	0	0
Gm5524	na	0	0	0	0	0	0	0	0
Gm597	na	0	0	0	0	0	0	0	0
Gm9898	na	0	0	0	0	0	0	0	0
Phf3	na	0.31084774	0.374739809	0.244585935	0.245951485	0.212441355	0.285729685	0.285152519	0.216842552
Ptp4a1	na	0.04757783	0.074921433	0.031774941	0.058709192	0.040287128	0.041679995	0.040162046	0.034419839
Gm29669	na	0.001730341	0.001209205	0.001350564	0.002496954	0.002187124	0.001600949	0.000996535	0.00273561
Gm28644	na	0.001094652	0.000928773	0.00033882	0.000883316	0.001240754	0.000288863	0.000451531	0.00046103
4931428L18Rik	na	0.001214711	0.001778207	0.00252419	0	0.002193353	0.001322579	0.001873941	0.00438062
Gm29128	na	0.000537578	0.001708726	0.001990507	0	0.001852187	0.000988297	0.004005235	0.001334407
Lgsn	na	0	0.000702482	0.001698161	0	0.000523352	0	0.002505658	0.005479903
Pih1d3	na	0	0	0	0	0	0	0	0
Khdrbs2	na	0.050214815	0.023934619	0.045816321	0.032108251	0.04507651	0.038080105	0.045703692	0.037358092
Gm5415	na	0	0	0	0	0	0	0	0
Gm37724	na	0	0	0	0	0	0	0	0
Gm37591	na	0	0	0	0	0	0	0	0
Prim2	na	0.070653209	0.103858661	0.043511284	0.06773854	0.090444145	0.053260724	0.045599016	0.041709148
Rab23	na	0.054982737	0.053911631	0.067015845	0.033397074	0.040487647	0.041019892	0.053770911	0.081753266
Bag2	na	0.202459132	0.204593032	0.116051568	0.204027724	0.145959704	0.110690177	0.168337861	0.105080167
Zfp451	na	0.175008459	0.168264405	0.11443644	0.102166412	0.066969719	0.16634352	0.153888271	0.11762724
Bend6	na	0.028773277	0.032211103	0.017683367	0.020741689	0.029384924	0.025880633	0.023434816	0.021070093
Dst	na	1.074417302	1.109976527	1.052963404	0.75970155	0.657814891	1.510410573	1.367822789	1.055698633
Gm37958	na	0	0	0	0	0	0	0	0
Gm37233	na	0.002071912	0.004628267	0.001080357	0.002959019	0.001674729	0.000751507	0.002645779	0.001238631
Ccdc115	na	0.094970249	0.090325917	0.032051445	0.06642855	0.048363494	0.049382642	0.05812807	0.042584681
Gm28306	na	0.000871541	0.002498643	0	0.001982777	0.000569176	0.000463432	0.000694005	0.000519078
Imp4	na	0.087336446	0.073472363	0.026872014	0.07539938	0.042596224	0.027189369	0.036215443	0.02943325
Ptpn18	na	0.035784944	0.056980112	0.035415184	0.047625412	0.03463272	0.014550404	0.045452824	0.034380963
4930568A12Rik	na	0.000689441	0.000282561	0.000493379	0.000884177	0	0	0	0
Prss39	na	0	0.000727757	0	0	0	0	0	0
Cfc1	na	0	0	0.000637645	0	0	0.000726443	0.001010407	0
Prss40	na	0.002052106	0.001508678	0.010525128	0.003226717	0.00421178	0.00376187	0.001156929	0.022349332
1700101I19Rik	na	0	0	0	0	0	0	0	0
Amer3	na	0	0	0	0	0	0	0	0
Arhgef4	na	0.03281372	0.026300601	0.011066121	0.017098269	0.02125529	0.020603422	0.008598874	0.02674667
Gm38336	na	0.001715598	0.002379391	0.004545307	0.003330276	0.002444991	0.004759576	0.007259675	0.002982798
Fam168b	na	0.209635248	0.258842471	0.100942844	0.164465413	0.108293383	0.152657567	0.194262442	0.128528215
Plekhb2	na	0.115797723	0.108967356	0.044751112	0.088255895	0.053236612	0.056399328	0.063762441	0.044366939
Gm37068	na	0	0	0	0	0.000562727	0	0	0
Gm28415	na	0	0	0	0	0	0	0	0
1110002O04Rik	na	0.009746068	0.012331098	0.022984945	0.003380856	0.015760894	0.003814223	0.006876779	0.029379955
Gm37146	na	0	0	0	0	0	0	0	0
Gm33222	na	0.001007522	0	0.001162602	0	0	0	0	0.000942297
4930535G08Rik	na	0	0	0	0	0	0	0	0
Hs6st1	na	0.105461824	0.087332392	0.055452579	0.069608337	0.037853248	0.067436961	0.075121972	0.05059252
Gm37335	na	0.001453812	0	0	0.000827046	0.000462413	0	0	0
Gm33280	na	0.000727412	0	0	0.001079136	0.000457371	0	0	0
Uggt1	na	0.14678687	0.147146029	0.069798268	0.101941363	0.08417023	0.159557481	0.10931023	0.067431004
Neurl3	na	0.010382888	0.012399072	0.002965657	0.008321819	0.00625883	0.007790493	0.010253768	0.001329392
Arid5a	na	0.04634036	0.028385348	0.015555831	0.015905314	0.015993879	0.041438562	0.035677643	0.01343915
4930403P22Rik	na	0.045728346	0.073562546	0.014083193	0.031673979	0.049339298	0.035358982	0.052271711	0.065504386
Kansl3	na	0.27313508	0.30212408	0.26613588	0.253850607	0.201387319	0.234951984	0.276109193	0.285354228
Fer1l5	na	0.000368955	0.000584649	0.001114326	0.000700716	0	0	0.001042089	0.00223352
Lman2l	na	0.127419743	0.147834846	0.196072616	0.222271833	0.179287468	0.147118566	0.204812651	0.172702841
Cnnm4	na	0.029127649	0.013666555	0.012029235	0.008557883	0.008682703	0.028879312	0.022450132	0.008163347
Cnnm3	na	0.103628571	0.109872331	0.077673106	0.109359871	0.065267666	0.062555296	0.074702279	0.091041504
Gm38033	na	0.003074422	0.003239171	0.004176302	0.000604204	0.003205933	0.003353697	0.004839119	0.005010005
Ankrd23	na	0.020906594	0.023361975	0.091314053	0.008710012	0.023063326	0.0338339	0.071765955	0.072538851
Gm43543	na	0.002809893	0.002556957	0.00471705	0	0.010122809	0.008062899	0.004898905	0.013404054
Ankrd39	na	0.029011761	0.025862096	0.014703467	0.031436329	0.015417247	0.011723947	0.011355222	0.013128309
Sema4c	na	0.039656658	0.059940941	0.019242623	0.030895974	0.027814546	0.026739629	0.042874819	0.02286741
Fam178b	na	0.010342919	0.006745237	0.016308278	0.007784568	0.008783852	0.008899964	0.014462443	0.013170648
Cox5b	na	1.581409774	1.416107229	0.745764696	2.043066676	1.864987803	0.327521447	0.440634055	0.820515642
Actr1b	na	0.229196752	0.218127213	0.147747492	0.168396736	0.107095844	0.14693031	0.176539429	0.144128724
4933424G06Rik	na	0.017446612	0.010672459	0.026575488	0.007734791	0.021115557	0.02564828	0.011974811	0.026176583
Gm33533	na	0.000669412	0.000654646	0.000651097	0.000926872	0	0	0	0.000514183
Zap70	na	0.002522443	0.001262505	0	0.000492454	0	0.003245442	0.002316176	0.002169279
Tmem131	na	0.216907228	0.24677485	0.176213549	0.167282999	0.130664529	0.208232768	0.202136956	0.18089959
Vwa3b	na	0.003454262	0.004050043	0.006468664	0.003340753	0.003200533	0.003567411	0.000674071	0.004089946
Gm37020	na	0	0	0	0	0	0	0	0
Cnga3	na	0.000422609	0.003332691	0.003542467	0.000225321	0.001199042	0.005696838	0.002929556	0.002096204
Inpp4a	na	0.050759142	0.084643818	0.052324004	0.043249323	0.028661089	0.064427839	0.073790888	0.051955445
4930439A04Rik	na	0	0	0	0	0	0	0.000499486	0
Coa5	na	0.175607929	0.202787986	0.036972643	0.093661539	0.064991303	0.06654183	0.071806563	0.047107263
Unc50	na	0.116277397	0.126230613	0.052234068	0.153745007	0.113448695	0.051958053	0.071555901	0.060531622
Mgat4a	na	0.075444389	0.059023788	0.029900218	0.050740885	0.056323137	0.0648861	0.044337669	0.041232701
2010300C02Rik	na	0.007410467	0.006095708	0.005826602	0.005370014	0.008218544	0.002497977	0.002657105	0.006854512
4930556I23Rik	na	0	0	0	0	0	0	0	0
Tsga10	na	0.054432658	0.060200815	0.029449795	0.065462906	0.046618544	0.044925572	0.054508782	0.03234805
Gm26805	na	0	0.00052749	0.001915401	0.000962274	0.00087188	0	0.00194253	0.002822293
Lipt1	na	0.01523094	0.017819429	0.008686822	0.020709443	0.014706877	0.004593544	0.006084275	0.005760118
Mitd1	na	0.049149608	0.049500306	0.017516271	0.04446871	0.037018961	0.034226751	0.036327246	0.038862243
Mrpl30	na	0.408103417	0.382992382	0.105858208	0.419773686	0.317529222	0.102109202	0.138593813	0.143253641
Lyg2	na	0	0.000537774	0	0	0.000506616	0.000680808	0	0
Gm15457	na	0.002521664	0.001333014	0.00055799	0.000985404	0.002642229	0.002061967	0.001429612	0.002640511
Lyg1	na	0	0	0	0	0	0	0	0
Txndc9	na	0.248161346	0.220327088	0.127982049	0.240097612	0.170790888	0.093839709	0.106532959	0.127103556
Eif5b	na	0.551882726	0.440144014	0.192305392	0.421009194	0.2571479	0.243396714	0.240237413	0.178889209
Rev1	na	0.311499175	0.295009825	0.242542132	0.220113987	0.217807426	0.334486295	0.286687101	0.27006322
Gm5099	na	0.000275029	0.000534846	0.001782398	0.000366498	0.000370158	0.00241454	0	0.001583992
Aff3	na	0.073388189	0.093599652	0.060857804	0.062393183	0.071207869	0.046134629	0.067917559	0.049225107
Gm16150	na	0	0	0	0	0	0	0	0
Gm16151	na	0	0	0	0	0.000296288	0.000738506	0	0.000432197
Gm16152	na	0.00092883	0.002885679	0.001839567	0.002437344	0.004206011	0.00163444	0.000818486	0.000824948
Lonrf2	na	0.011177472	0.018727315	0.014912491	0.013023251	0.004822671	0.017285042	0.018516298	0.008553285
Chst10	na	0.003349658	0.004017967	0	0.003307293	0.001668676	0.000288554	0.003944378	0.000515689
Gm37707	na	0	0	0	0	0	0	0	0
Nms	na	0	0	0	0	0	0	0	0
Pdcl3	na	0.216798543	0.186977517	0.071293307	0.225380608	0.160871378	0.047696892	0.057860089	0.060640155
Gm37821	na	0	0	0.00054994	0	0	0	0	0
Npas2	na	0.328552853	0.379439856	0.326907285	0.212216015	0.211522008	0.348117803	0.293258647	0.327623606
Rpl31	na	0.254548627	0.210709779	0.069715352	0.189095234	0.122378081	0.066875263	0.090701638	0.063360335
Tbc1d8	na	0.076129945	0.084213005	0.051209508	0.06914731	0.053733071	0.049357203	0.054313625	0.070650495
Cnot11	na	0.049871418	0.059206521	0.021433026	0.071175132	0.02932246	0.022427949	0.01626823	0.023961599
Rnf149	na	0.10561193	0.096509896	0.051964823	0.075474922	0.04698374	0.086705506	0.068561899	0.05622111
Creg2	na	0	0	0	0	0	0	0.000443169	0
D930019O06Rik	na	0	0	0	0	0.00028628	0	0	0
Rfx8	na	0.005237426	0.004358925	0.002744324	0.00363006	0.003652681	0.000739745	0.002157558	0.003594634
Gm3646	na	0.024516416	0.021983083	0.014081448	0.029761931	0.017547713	0.009465121	0.006864794	0.015382862
1700066B17Rik	na	0.00043341	0.000484032	0.001274187	0	0.001397401	0.000411295	0.00079123	0.000476081
Map4k4	na	0.447512752	0.668036445	0.434574305	0.378807217	0.251600428	0.558151518	0.480642305	0.401721592
Il1r2	na	0.011036796	0.002291172	0.007213083	0.002660687	0.002876088	0.009575648	0.00261572	0.009230854
Gm16894	na	0.00282622	0.000704938	0.001550698	0.001424397	0.002009213	0	0.002316523	0
Il1r1	na	0.10290241	0.061027149	0.009020322	0.035212932	0.018008965	0.057401812	0.050649779	0.009079438
Il1rl2	na	0.022194242	0.020387281	0.005164496	0.013004535	0.006587807	0.00701991	0.011412152	0.003520428
Il1rl1	na	0.002779018	0.000272491	0.00294844	0.004516094	0.002162179	0.002318363	0.003844668	0.000492359
Il18r1	na	0.00265671	0.001940945	0	0.0011771	0.001154059	0.000932647	0.004473221	0
Il18rap	na	0.002474266	0.000676249	0.00083712	0.00310757	0.000569691	0.002374938	0.003463143	0.000507475
Gm35801	na	0	0	0	0	0	0	0	0
Slc9a4	na	0.000241786	0	0.000550731	0	0.000895373	0.001148263	0.000522944	0.000613875
Slc9a2	na	0.006541718	0.009582132	0.029319167	0.010701026	0.012385149	0.010204114	0.008129702	0.022188373
Gm37623	na	0	0.000726372	0.001698777	0.002634113	0.001913816	0.00051329	0.000452504	0.002011825
Gm37915	na	0.001068819	0	0.000492784	0.00053188	0	0.001461172	0	0.001349692
Mfsd9	na	0.006261194	0.003215617	0.003049042	0.003890947	0.003528507	0.00452988	0.003328814	0.00185733
Tmem182	na	0.248825532	0.295408739	0.205815317	0.407149254	0.266260291	0.216890169	0.196814605	0.197910842
4930448I06Rik	na	0	0	0	0	0	0	0	0
Gm28634	na	0	0	0	0	0	0	0	0
Gm29260	na	0.001910874	0.000558777	0.003348354	0.002590699	0.002538946	0.002021897	0.004058481	0.005547275
Gm9915	na	0	0	0	0	0	0	0	0
Gm29664	na	0	0	0	0	0	0	0	0
Gm28175	na	0	0	0	0	0	0	0	0
Gm28140	na	0	0.000765426	0.00191315	0	0.000378868	0	0	0.00101163
Pantr1	na	0.004059573	0.002957286	0.004315841	0.00254634	0.002253008	0.000912117	0.003180324	0.004671735
Pou3f3	na	0	0	0	0	0	0	0	0
Dalir	na	0	0	0	0	0	0	0	0
Mrps9	na	0.274295511	0.303440107	0.141551753	0.298347465	0.206530807	0.176915863	0.15961519	0.133772444
Gpr45	na	0.00026192	0.001129695	0.001537429	0.003011781	0.001753594	0.002553141	0.002462635	0.003069272
Tgfbrap1	na	0.059901119	0.054353789	0.05146083	0.04376687	0.034495706	0.069963417	0.057221254	0.037824456
Gm28782	na	0	0	0	0	0	0	0	0
8430432A02Rik	na	0.00101993	0.000928422	0.00141757	0.005797012	0.002412647	0.000526912	0.000614185	0.002771998
AI597479	na	0.032899077	0.033625475	0.021894663	0.023500778	0.01695425	0.019275413	0.025699292	0.014361941
Fhl2	na	1.889331844	2.617758236	3.274236049	2.25002182	2.374004205	2.682830463	3.54620701	3.024647478
Gm29040	na	0.001022189	0.006921613	0.006577608	0.004239736	0.001086941	0.002054839	0.006508935	0.004778726
Nck2	na	0.232684763	0.268385525	0.157822761	0.136726642	0.128940512	0.253893886	0.214146942	0.160236932
1500015O10Rik	na	0.00977298	0.0247097	0	0.007734277	0.006900341	0.001494104	0.010438811	0.00160858
Gm29155	na	0.000367839	0.000681607	0	0	0.000660781	0	0	0
Gm29157	na	0	0	0	0.000723902	0	0	0	0
Gm29156	na	0	0	0.0005618	0	0.00035273	0	0	0
Uxs1	na	0.097100249	0.083874176	0.029434845	0.062259472	0.071931313	0.057063157	0.055581881	0.022043051
Tpp2	na	0.304776978	0.288460376	0.177421262	0.221111958	0.207538825	0.278861971	0.261617861	0.161014935
Mettl21c	na	0.004933271	0.003415229	0.005424248	0.00305608	0.003123441	0.009878752	0.005102054	0.005101378
Gm8251	na	0	0.00092564	0	0	0	0	0	0
Tex30	na	0.057868973	0.067433458	0.011813015	0.050250111	0.070370437	0.024488999	0.020258481	0.01873476
Kdelc1	na	0.092815828	0.068720379	0.070717889	0.091152209	0.080359926	0.056711074	0.063590899	0.074844768
Bivm	na	0.030967511	0.034899381	0.013559636	0.031929312	0.021661741	0.029276182	0.016910534	0.012210398
Ercc5	na	0.111144799	0.124313622	0.074081812	0.075734965	0.053640431	0.100449012	0.096015259	0.065564621
Mettl21e	na	0.000190898	0.000422128	0.000549309	0	0	0	0	0.000461279
Gulp1	na	0.082932681	0.145401277	0.027911546	0.071563888	0.07019119	0.038897436	0.059670062	0.035084072
4930521E06Rik	na	0	0	0	0	0.000415299	0	0	0
Col3a1	na	0.787152258	1.245360421	0.439270861	0.747980289	0.890528979	0.282123405	1.223917677	0.479519881
Col5a2	na	0.253594547	0.395329073	0.066088099	0.186103372	0.181600101	0.100154128	0.303746007	0.070878184
Wdr75	na	0.084615227	0.067002763	0.029895733	0.051414026	0.042699932	0.054998532	0.055309213	0.035023781
Gm5269	na	0	0	0	0	0	0	0	0
Slc40a1	na	0.02272181	0.030397761	0.006630853	0.038914674	0.026370167	0.005348111	0.007346418	0.007105561
Dnah7b	na	0.038375151	0.056693819	0.029631254	0.035817508	0.030693709	0.018575201	0.035395538	0.0214224
Dnah7c	na	0.051215901	0.041640158	0.13698032	0.030678433	0.060908712	0.084062882	0.118083301	0.139863104
